"IDNgrid","IDgrid","n"
"369","(43.772,43.778].(-79.43,-79.42]",17
"37","(43.64,43.647].(-79.59,-79.57]",16
"370","(43.778,43.785].(-79.43,-79.42]",17
"371","(43.785,43.792].(-79.43,-79.42]",30
"372","(43.792,43.798].(-79.43,-79.42]",17
"373","(43.627,43.633].(-79.42,-79.41]",10
"374","(43.633,43.64].(-79.42,-79.41]",29
"375","(43.64,43.647].(-79.42,-79.41]",36
"376","(43.647,43.653].(-79.42,-79.41]",32
"377","(43.653,43.66].(-79.42,-79.41]",61
"378","(43.66,43.666].(-79.42,-79.41]",44
"379","(43.666,43.673].(-79.42,-79.41]",28
"38","(43.647,43.653].(-79.59,-79.57]",17
"380","(43.673,43.68].(-79.42,-79.41]",28
"381","(43.68,43.686].(-79.42,-79.41]",23
"382","(43.686,43.693].(-79.42,-79.41]",15
"383","(43.693,43.699].(-79.42,-79.41]",34
"384","(43.699,43.706].(-79.42,-79.41]",18
"385","(43.706,43.712].(-79.42,-79.41]",51
"386","(43.712,43.719].(-79.42,-79.41]",31
"387","(43.719,43.726].(-79.42,-79.41]",31
"388","(43.726,43.732].(-79.42,-79.41]",42
"389","(43.732,43.739].(-79.42,-79.41]",45
"39","(43.653,43.66].(-79.59,-79.57]",33
"390","(43.739,43.745].(-79.42,-79.41]",8
"391","(43.745,43.752].(-79.42,-79.41]",3
"392","(43.752,43.759].(-79.42,-79.41]",21
"393","(43.759,43.765].(-79.42,-79.41]",49
"394","(43.765,43.772].(-79.42,-79.41]",41
"395","(43.772,43.778].(-79.42,-79.41]",46
"396","(43.778,43.785].(-79.42,-79.41]",127
"397","(43.785,43.792].(-79.42,-79.41]",23
"398","(43.792,43.798].(-79.42,-79.41]",31
"399","(43.627,43.633].(-79.41,-79.39]",5
"4","(43.732,43.739].(-79.63,-79.61]",49
"40","(43.66,43.666].(-79.59,-79.57]",14
"400","(43.633,43.64].(-79.41,-79.39]",41
"401","(43.64,43.647].(-79.41,-79.39]",67
"402","(43.647,43.653].(-79.41,-79.39]",107
"403","(43.653,43.66].(-79.41,-79.39]",94
"404","(43.66,43.666].(-79.41,-79.39]",20
"405","(43.666,43.673].(-79.41,-79.39]",22
"406","(43.673,43.68].(-79.41,-79.39]",30
"407","(43.68,43.686].(-79.41,-79.39]",13
"408","(43.686,43.693].(-79.41,-79.39]",11
"409","(43.693,43.699].(-79.41,-79.39]",15
"41","(43.666,43.673].(-79.59,-79.57]",2
"410","(43.699,43.706].(-79.41,-79.39]",19
"411","(43.706,43.712].(-79.41,-79.39]",27
"412","(43.712,43.719].(-79.41,-79.39]",21
"413","(43.719,43.726].(-79.41,-79.39]",22
"414","(43.726,43.732].(-79.41,-79.39]",48
"415","(43.732,43.739].(-79.41,-79.39]",17
"416","(43.739,43.745].(-79.41,-79.39]",28
"417","(43.745,43.752].(-79.41,-79.39]",16
"418","(43.752,43.759].(-79.41,-79.39]",20
"419","(43.759,43.765].(-79.41,-79.39]",18
"42","(43.673,43.68].(-79.59,-79.57]",2
"420","(43.765,43.772].(-79.41,-79.39]",18
"421","(43.772,43.778].(-79.41,-79.39]",25
"422","(43.778,43.785].(-79.41,-79.39]",19
"423","(43.785,43.792].(-79.41,-79.39]",5
"424","(43.792,43.798].(-79.41,-79.39]",12
"425","(43.798,43.805].(-79.41,-79.39]",7
"426","(43.633,43.64].(-79.39,-79.38]",14
"427","(43.64,43.647].(-79.39,-79.38]",93
"428","(43.647,43.653].(-79.39,-79.38]",65
"429","(43.653,43.66].(-79.39,-79.38]",58
"43","(43.68,43.686].(-79.59,-79.57]",9
"430","(43.66,43.666].(-79.39,-79.38]",42
"431","(43.666,43.673].(-79.39,-79.38]",71
"432","(43.673,43.68].(-79.39,-79.38]",20
"433","(43.68,43.686].(-79.39,-79.38]",13
"434","(43.686,43.693].(-79.39,-79.38]",16
"435","(43.693,43.699].(-79.39,-79.38]",6
"436","(43.699,43.706].(-79.39,-79.38]",24
"437","(43.706,43.712].(-79.39,-79.38]",34
"438","(43.712,43.719].(-79.39,-79.38]",9
"439","(43.719,43.726].(-79.39,-79.38]",11
"44","(43.686,43.693].(-79.59,-79.57]",194
"440","(43.726,43.732].(-79.39,-79.38]",10
"441","(43.732,43.739].(-79.39,-79.38]",1
"442","(43.739,43.745].(-79.39,-79.38]",3
"443","(43.745,43.752].(-79.39,-79.38]",9
"444","(43.752,43.759].(-79.39,-79.38]",14
"445","(43.759,43.765].(-79.39,-79.38]",15
"446","(43.765,43.772].(-79.39,-79.38]",28
"447","(43.772,43.778].(-79.39,-79.38]",9
