"premisetype","offence","occurrenceyear","occurrencemonth","occurrenceday","occurrencedayofyear","occurrencedayofweek","occurrencehour","Division","Hood_ID","Neighbourhood","Lat","Long","occurrence_ts","weather","hmdx","hmdx_flag","pressure","pressure_flag","rel_hum","rel_hum_flag","temp","temp_dew","temp_dew_flag","temp_flag","visib","visib_flag","wind_chill","wind_chill_flag","wind_dir","wind_dir_flag","wind_spd","wind_spd_flag","annual_growth_rate","current_ppl","current_children_ppl","current_youth_ppl","current_working_ppl","current_pre_retirement_ppl","current_seniors_ppl","current_older_ppl"
"House","Theft Of Motor Vehicle",2016,1,8,8,"Friday",6,"D31",26,"Downsview-Roding-CFB (26)",43.7268372,-79.5047836,2016-01-08 06:45:00,NA,NA,NA,100.58,NA,89,NA,1.3,-0.3,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.011,35052,5725,4340,15045,4380,5535,870
"Outside","Theft Of Motor Vehicle",2016,1,8,8,"Friday",12,"D23",1,"West Humber-Clairville (1)",43.7117691,-79.591011,2016-01-08 12:00:00,NA,NA,NA,100.32,NA,84,NA,3.3,0.9,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",-0.023,33312,5060,5445,13845,3990,4980,615
"Outside","Theft Of Motor Vehicle",2016,1,8,8,"Friday",12,"D23",1,"West Humber-Clairville (1)",43.7439194,-79.6054993,2016-01-08 12:00:00,NA,NA,NA,100.32,NA,84,NA,3.3,0.9,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",-0.023,33312,5060,5445,13845,3990,4980,615
"Outside","Theft Of Motor Vehicle",2016,1,8,8,"Friday",16,"D51",74,"North St.James Town (74)",43.6702576,-79.3785858,2016-01-08 16:30:00,NA,NA,NA,100.05,NA,71,NA,3.5,-1.2,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.044,18615,2290,2265,10350,1970,1740,220
"Outside","Theft Of Motor Vehicle",2016,1,8,8,"Friday",17,"D23",1,"West Humber-Clairville (1)",43.7320251,-79.5894241,2016-01-08 17:00:00,NA,NA,NA,100.09,NA,71,NA,3.4,-1.3,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",-0.023,33312,5060,5445,13845,3990,4980,615
"House","Theft Of Motor Vehicle",2016,1,8,8,"Friday",17,"D32",38,"Lansing-Westgate (38)",43.7540817,-79.4203644,2016-01-08 17:45:00,NA,NA,NA,100.09,NA,71,NA,3.4,-1.3,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.104,16164,2420,2105,7590,1910,2160,360
"House","Theft Of Motor Vehicle",2016,1,8,8,"Friday",18,"D13",107,"Oakwood Village (107)",43.6892624,-79.4342194,2016-01-08 18:00:00,NA,NA,NA,100.02,NA,73,NA,3.5,-0.8,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.007,21210,3130,2275,9535,2590,3700,540
"House","Theft Of Motor Vehicle",2016,1,8,8,"Friday",20,"D41",124,"Kennedy Park (124)",43.723423,-79.2570724,2016-01-08 20:00:00,NA,NA,NA,99.97,NA,71,NA,4.1,-0.7,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.004,17123,2775,2175,7120,2510,2550,330
"House","Theft Of Motor Vehicle",2016,1,8,8,"Friday",20,"D13",102,"Forest Hill North (102)",43.6984901,-79.4384079,2016-01-08 20:00:00,NA,NA,NA,99.97,NA,71,NA,4.1,-0.7,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.027,12806,2060,1500,5390,1725,2135,350
"Outside","Theft Of Motor Vehicle",2016,1,8,8,"Friday",21,"D23",6,"Kingsview Village-The Westway (6)",43.695797,-79.5521545,2016-01-08 21:00:00,NA,NA,NA,99.95,NA,74,NA,3.6,-0.6,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.013,22000,4240,3020,8635,2550,3585,575
